Mecocerculus leucophrys
Mecocerculus minor
Mecocerculus poecilocercus
Mecocerculus stictopterus
Megarynchus pitangua
Megastictus margaritatus
Megaxenops parnaguae
Melanopareia elegans
Melanopareia maranonica
Melanopareia maximiliani
Melanopareia torquata
Menura novaehollandiae
Merulaxis aff. ater
Merulaxis ater
Merulaxis stresemanni
Metopothrix aurantiaca
Micrastur semitorquatus
Microrhopias quixensis
Microxenops milleri
Mionectes macconnelli
Mionectes oleagineus
Mionectes olivaceus
Mionectes rufiventris
Mionectes striaticollis
Mitrephanes olivaceus
Mitrephanes phaeocercus
Muscigralla brevicauda
Muscipipra vetula
Muscisaxicola albifrons
Muscisaxicola albilora
Muscisaxicola alpinus
Muscisaxicola capistratus
Muscisaxicola cinereus
Muscisaxicola flavinucha
Muscisaxicola fluviatilis
Muscisaxicola frontalis
Muscisaxicola griseus
Muscisaxicola juninensis
Muscisaxicola maclovianus
Muscisaxicola maculirostris
Muscisaxicola rufivertex
Myiarchus antillarum
Myiarchus apicalis
Myiarchus barbirostris
Myiarchus cephalotes
Myiarchus cinerascens
Myiarchus crinitus
Myiarchus ferox
Myiarchus magnirostris
Myiarchus nugator
Myiarchus nuttingi
Myiarchus oberi
Myiarchus panamensis
Myiarchus phaeocephalus
Myiarchus sagrae
Myiarchus semirufus
Myiarchus stolidus
Myiarchus swainsoni
Myiarchus tuberculifer
Myiarchus tyrannulus
Myiarchus validus
Myiarchus venezuelensis
Myiarchus yucatanensis
Myiobius atricaudus
Myiobius barbatus
Myiobius sulphureipygius
Myiobius villosus
Myiodynastes bairdii
Myiodynastes chrysocephalus
Myiodynastes hemichrysus
Myiodynastes luteiventris
Myiodynastes maculatus
Myiopagis caniceps
Myiopagis cotta
Myiopagis flavivertex
Myiopagis gaimardii
Myiopagis olallai
Myiopagis subplacens
Myiopagis viridicata
Myiophobus cryptoxanthus
Myiophobus fasciatus
Myiophobus flavicans
Myiophobus inornatus
Myiophobus phoenicomitra
Myiophobus roraimae
Myiornis albiventris
Myiornis atricapillus
Myiornis auricularis
Myiornis ecaudatus
Myiotheretes fumigatus
Myiotheretes fuscorufus
Myiotheretes pernix
Myiotheretes striaticollis
Myiotriccus ornatus
Myiozetetes cayanensis
Myiozetetes granadensis
Myiozetetes luteiventris
Myiozetetes similis
Myornis senilis
Myrmeciza longipes
Myrmelastes brunneiceps
Myrmelastes caurensis
Myrmelastes humaythae
Myrmelastes hyperythra
Myrmelastes leucostigma
Myrmelastes rufifacies
Myrmelastes saturata
Myrmelastes schistacea
Myrmoborus leucophrys
Myrmoborus lophotes
Myrmoborus lugubris
Myrmoborus melanurus
Myrmoborus myotherinus
Myrmochanes hemileucus
Myrmoderus eowilsoni
Myrmoderus ferruginea
Myrmoderus loricata
Myrmoderus ruficauda
Myrmoderus squamosa
Myrmophylax atrothorax
Myrmorchilus strigilatus
Myrmornis torquata
Myrmothera campanisona
Myrmothera simplex
Myrmotherula ambigua
Myrmotherula assimilis
Myrmotherula axillaris
Myrmotherula behni
Myrmotherula brachyura
Myrmotherula cherriei
Myrmotherula fluminensis
Myrmotherula grisea
Myrmotherula ignota
Myrmotherula iheringi
Myrmotherula klagesi
Myrmotherula longicauda
Myrmotherula longipennis
Myrmotherula menetriesii
Myrmotherula minor
Myrmotherula multostriata
Myrmotherula pacifica
Myrmotherula schisticolor
Myrmotherula sclateri
Myrmotherula snowi
Myrmotherula sunensis
Myrmotherula surinamensis
Myrmotherula unicolor
Myrmotherula urosticta
Certhiaxis sp. nov.
Herpsilochmus aff. motacilloides \Puno\\\""
Myiornis sp. nov.
Phacellodomus sp. nov.
NA
Nasica longirostris
Neoctantes niger
Neodrepanis coruscans
Neodrepanis hypoxantha
Neopelma aurifrons
Neopelma chrysocephalum
Neopelma chrysolophum
Neopelma pallescens
Neopelma sulphureiventer
Neopipo cinnamomea
Neoxolmis rufiventris
Nephelomyias lintoni
Nephelomyias ochraceiventris
Nephelomyias pulcher
Nesotriccus ridgwayi
Nestor meridionalis
Nestor notabilis
Ochetorhynchus andaecola
Ochetorhynchus melanurus
Ochetorhynchus phoenicurus
Ochetorhynchus ruficaudus
Ochthoeca cinnamomeiventris
Ochthoeca diadema
Ochthoeca frontalis
Ochthoeca fumicolor
Ochthoeca jelskii
Ochthoeca leucophrys
Ochthoeca oenanthoides
Ochthoeca piurae
Ochthoeca pulchella
Ochthoeca rufipectoralis
Ochthornis littoralis
Oncostoma cinereigulare
Oncostoma olivaceum
Oneillornis lunulatus
Oneillornis salvini
Onychorhynchus coronatus
Ornithion brunneicapillus
Ornithion inerme
Ornithion semiflavum
Oxyruncus cristatus
Pachyramphus aglaiae
Pachyramphus albogriseus
Pachyramphus castaneus
Pachyramphus cinnamomeus
Pachyramphus homochrous
Pachyramphus major
Pachyramphus marginatus
Pachyramphus minor
Pachyramphus niger
Pachyramphus polychopterus
Pachyramphus rufus
Pachyramphus spodiurus
Pachyramphus surinamus
Pachyramphus validus
Pachyramphus versicolor
Pachyramphus viridis
Passer domesticus
Passerella iliaca
Percnostola arenarum
Percnostola rufifrons
Perissocephalus tricolor
Phacellodomus dorsalis
Phacellodomus erythrophthalmus
Phacellodomus ferrugineigula
Phacellodomus maculipectus
Phacellodomus ruber
Phacellodomus rufifrons
Phacellodomus sibilatrix
Phacellodomus striaticeps
Phacellodomus striaticollis
Phaenostictus mcleannani
Phaeomyias murina
Phelpsia inornata
Phibalura flavirostris
Philepitta castanea
Philepitta schlegeli
Philydor atricapillus
Philydor erythrocercum
Philydor erythropterum
Philydor fuscipenne
Philydor novaesi
Philydor pyrrhodes
Philydor rufum
Phlegopsis borbae
Phlegopsis erythroptera
Phlegopsis nigromaculata
Phleocryptes melanops
Phoenicircus carnifex
Phoenicircus nigricollis
Phyllomyias burmeisteri
Phyllomyias cinereiceps
Phyllomyias fasciatus
Phyllomyias griseiceps
Phyllomyias griseocapilla
Phyllomyias nigrocapillus
Phyllomyias plumbeiceps
Phyllomyias reiseri
Phyllomyias sclateri
Phyllomyias urichi
Phyllomyias uropygialis
Phyllomyias virescens
Phyllomyias weedeni
Phylloscartes beckeri
Phylloscartes ceciliae
Phylloscartes chapmani
Phylloscartes difficilis
Phylloscartes eximius
Phylloscartes flaviventris
Phylloscartes flavovirens
Phylloscartes gualaquizae
Phylloscartes kronei
Phylloscartes lanyoni
Phylloscartes nigrifrons
Phylloscartes ophthalmicus
Phylloscartes orbitalis
Phylloscartes oustaleti
Phylloscartes parkeri
Phylloscartes paulista
Phylloscartes poecilotis
Phylloscartes roquettei
Phylloscartes superciliaris
Phylloscartes sylviolus
Phylloscartes venezuelanus
Phylloscartes ventralis
Phylloscartes virescens
Phytotoma raimondii
Phytotoma rara
Phytotoma rutila
Pipra aureola
Pipra fasciicauda
Pipra filicauda
Pipreola arcuata
Pipreola aureopectus
Pipreola chlorolepidota
Pipreola formosa
Pipreola frontalis
Pipreola intermedia
Pipreola jucunda
Pipreola lubomirskii
Pipreola pulchra
Pipreola riefferii
Pipreola whitelyi
Piprites chloris
Piprites griseiceps
Piprites pileata
Philohydor lictor
Pitangus sulphuratus
Pithys albifrons
Pithys castaneus
Pitta anerythra
Pitta angolensis
Pitta brachyura
Pitta elegans
Pitta iris
Pitta maxima
